,SARIMA (BoxCox),SARIMA (Log),PROPHET
80% (training),"ARIMA(2,1,2)(2,0,2)[7]","ARIMA(2,1,3)(2,0,2)[7]",
MAE,60279.269,54900.033,58686.53
MdAPE,4.897,4.451,4.568
SMAPE,123.37,122.353,124.548
RMSE,69505.634,63122.743,66476.6
75% (training),"ARIMA(2,1,2)(2,0,2)[7]","ARIMA(2,1,3)(2,0,2)[7]",
MAE,41903.115,36198.114,127105.3
MdAPE,2.589,2.101,7.913
SMAPE,106.078,102.013,143.054
RMSE,50737.435,45327.182,135686.54
70% (training),"ARIMA(2,1,2)(2,0,1)[7]","ARIMA(2,1,3)(2,0,2)[7]",
MAE,887210.371,31716.685,32370.36
MdAPE,27.245,0.966,1.002
SMAPE,155.183,97.811,102.414
RMSE,1221044.958,47788.971,50397.04
