Date_reported,Cumulative_cases
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,1
1/20/2020,1
1/21/2020,1
1/22/2020,1
1/23/2020,1
1/24/2020,2
1/25/2020,2
1/26/2020,3
1/27/2020,4
1/28/2020,4
1/29/2020,4
1/30/2020,7
1/31/2020,11
2/1/2020,12
2/2/2020,15
2/3/2020,15
2/4/2020,16
2/5/2020,21
2/6/2020,24
2/7/2020,24
2/8/2020,24
2/9/2020,27
2/10/2020,28
2/11/2020,28
2/12/2020,28
2/13/2020,28
2/14/2020,28
2/15/2020,28
2/16/2020,30
2/17/2020,30
2/18/2020,32
2/19/2020,66
2/20/2020,82
2/21/2020,156
2/22/2020,346
2/23/2020,556
2/24/2020,763
2/25/2020,893
2/26/2020,1146
2/27/2020,1595
2/28/2020,2022
2/29/2020,2931
3/1/2020,3526
3/2/2020,4212
3/3/2020,4812
3/4/2020,5328
3/5/2020,5766
3/6/2020,6284
3/7/2020,6767
3/8/2020,7134
3/9/2020,7382
3/10/2020,7513
3/11/2020,7755
3/12/2020,7869
3/13/2020,7979
3/14/2020,8086
3/15/2020,8162
3/16/2020,8236
3/17/2020,8320
3/18/2020,8413
3/19/2020,8565
3/20/2020,8652
3/21/2020,8799
3/22/2020,8897
3/23/2020,8961
3/24/2020,9037
3/25/2020,9137
3/26/2020,9241
3/27/2020,9332
3/28/2020,9478
3/29/2020,9583
3/30/2020,9661
3/31/2020,9786
4/1/2020,9887
4/2/2020,9976
4/3/2020,10062
4/4/2020,10156
4/5/2020,10237
4/6/2020,10284
4/7/2020,10331
4/8/2020,10384
4/9/2020,10423
4/10/2020,10450
4/11/2020,10480
4/12/2020,10512
4/13/2020,10537
4/14/2020,10564
4/15/2020,10591
4/16/2020,10613
4/17/2020,10635
4/18/2020,10653
4/19/2020,10661
4/20/2020,10674
4/21/2020,10683
4/22/2020,10694
4/23/2020,10702
4/24/2020,10708
4/25/2020,10718
4/26/2020,10728
4/27/2020,10738
4/28/2020,10752
4/29/2020,10761
4/30/2020,10765
5/1/2020,10774
5/2/2020,10780
5/3/2020,10793
5/4/2020,10801
5/5/2020,10804
5/6/2020,10806
5/7/2020,10810
5/8/2020,10822
5/9/2020,10840
5/10/2020,10874
5/11/2020,10909
5/12/2020,10936
5/13/2020,10962
5/14/2020,10991
5/15/2020,11018
5/16/2020,11037
5/17/2020,11050
5/18/2020,11065
5/19/2020,11078
5/20/2020,11110
5/21/2020,11122
5/22/2020,11142
5/23/2020,11165
5/24/2020,11190
5/25/2020,11206
5/26/2020,11225
5/27/2020,11265
5/28/2020,11344
5/29/2020,11402
5/30/2020,11441
5/31/2020,11468
6/1/2020,11503
6/2/2020,11541
6/3/2020,11590
6/4/2020,11629
6/5/2020,11668
6/6/2020,11719
6/7/2020,11776
6/8/2020,11813
6/9/2020,11851
6/10/2020,11901
6/11/2020,11946
6/12/2020,12002
6/13/2020,12050
6/14/2020,12084
6/15/2020,12121
6/16/2020,12155
6/17/2020,12198
6/18/2020,12257
6/19/2020,12306
6/20/2020,12373
6/21/2020,12421
6/22/2020,12438
6/23/2020,12484
6/24/2020,12535
6/25/2020,12563
6/26/2020,12602
6/27/2020,12653
6/28/2020,12715
6/29/2020,12757
6/30/2020,12799
7/1/2020,12850
7/2/2020,12904
7/3/2020,12965
7/4/2020,13028
7/5/2020,13089
7/6/2020,13137
7/7/2020,13181
7/8/2020,13243
7/9/2020,13293
7/10/2020,13338
7/11/2020,13373
7/12/2020,13417
7/13/2020,13479
7/14/2020,13512
7/15/2020,13551
7/16/2020,13612
7/17/2020,13672
7/18/2020,13711
7/19/2020,13745
7/20/2020,13771
7/21/2020,13816
7/22/2020,13879
7/23/2020,13938
7/24/2020,13979
7/25/2020,14092
7/26/2020,14150
7/27/2020,14175
7/28/2020,14203
7/29/2020,14251
7/30/2020,14269
7/31/2020,14305
8/1/2020,14336
8/2/2020,14366
8/3/2020,14389
8/4/2020,14423
8/5/2020,14456
8/6/2020,14499
8/7/2020,14519
8/8/2020,14562
8/9/2020,14598
8/10/2020,14626
8/11/2020,14660
8/12/2020,14714
8/13/2020,14770
8/14/2020,14873
8/15/2020,15039
8/16/2020,15318
8/17/2020,15515
8/18/2020,15761
8/19/2020,16058
8/20/2020,16346
8/21/2020,16670
8/22/2020,17002
8/23/2020,17399
8/24/2020,17665
8/25/2020,17945
8/26/2020,18265
8/27/2020,18706
8/28/2020,19077
8/29/2020,19400
8/30/2020,19699
8/31/2020,19947
9/1/2020,20182
9/2/2020,20449
9/3/2020,20644
9/4/2020,20842
9/5/2020,21010
9/6/2020,21177
9/7/2020,21296
9/8/2020,21432
9/9/2020,21588
9/10/2020,21743
9/11/2020,21919
9/12/2020,22055
9/13/2020,22176
9/14/2020,22285
9/15/2020,22391
9/16/2020,22504
9/17/2020,22657
9/18/2020,22783
9/19/2020,22893
9/20/2020,22975
9/21/2020,23045
9/22/2020,23106
9/23/2020,23216
