ds,y
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,1
1/20/2020,0
1/21/2020,0
1/22/2020,0
1/23/2020,0
1/24/2020,1
1/25/2020,0
1/26/2020,1
1/27/2020,1
1/28/2020,0
1/29/2020,0
1/30/2020,3
1/31/2020,4
2/1/2020,1
2/2/2020,3
2/3/2020,0
2/4/2020,1
2/5/2020,5
2/6/2020,3
2/7/2020,0
2/8/2020,0
2/9/2020,3
2/10/2020,1
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,2
2/17/2020,0
2/18/2020,2
2/19/2020,34
2/20/2020,16
2/21/2020,74
2/22/2020,190
2/23/2020,210
2/24/2020,207
2/25/2020,130
2/26/2020,253
2/27/2020,449
2/28/2020,427
2/29/2020,909
3/1/2020,595
3/2/2020,686
3/3/2020,600
3/4/2020,516
3/5/2020,438
3/6/2020,518
3/7/2020,483
3/8/2020,367
3/9/2020,248
3/10/2020,131
3/11/2020,242
3/12/2020,114
3/13/2020,110
3/14/2020,107
3/15/2020,76
3/16/2020,74
3/17/2020,84
3/18/2020,93
3/19/2020,152
3/20/2020,87
3/21/2020,147
3/22/2020,98
3/23/2020,64
3/24/2020,76
3/25/2020,100
3/26/2020,104
3/27/2020,91
3/28/2020,146
3/29/2020,105
3/30/2020,78
3/31/2020,125
4/1/2020,101
4/2/2020,89
4/3/2020,86
4/4/2020,94
4/5/2020,81
4/6/2020,47
4/7/2020,47
4/8/2020,53
4/9/2020,39
4/10/2020,27
4/11/2020,30
4/12/2020,32
4/13/2020,25
4/14/2020,27
4/15/2020,27
4/16/2020,22
4/17/2020,22
4/18/2020,18
4/19/2020,8
4/20/2020,13
4/21/2020,9
4/22/2020,11
4/23/2020,8
4/24/2020,6
4/25/2020,10
4/26/2020,10
4/27/2020,10
4/28/2020,14
4/29/2020,9
4/30/2020,4
5/1/2020,9
5/2/2020,6
5/3/2020,13
5/4/2020,8
5/5/2020,3
5/6/2020,2
5/7/2020,4
5/8/2020,12
5/9/2020,18
5/10/2020,34
5/11/2020,35
5/12/2020,27
5/13/2020,26
5/14/2020,29
5/15/2020,27
5/16/2020,19
5/17/2020,13
5/18/2020,15
5/19/2020,13
5/20/2020,32
5/21/2020,12
5/22/2020,20
5/23/2020,23
5/24/2020,25
5/25/2020,16
5/26/2020,19
5/27/2020,40
5/28/2020,79
5/29/2020,58
5/30/2020,39
5/31/2020,27
6/1/2020,35
6/2/2020,38
6/3/2020,49
6/4/2020,39
6/5/2020,39
6/6/2020,51
6/7/2020,57
6/8/2020,37
6/9/2020,38
6/10/2020,50
6/11/2020,45
6/12/2020,56
6/13/2020,48
6/14/2020,34
6/15/2020,37
6/16/2020,34
6/17/2020,43
6/18/2020,59
6/19/2020,49
6/20/2020,67
6/21/2020,48
6/22/2020,17
6/23/2020,46
6/24/2020,51
6/25/2020,28
6/26/2020,39
6/27/2020,51
6/28/2020,62
6/29/2020,42
6/30/2020,42
7/1/2020,51
7/2/2020,54
7/3/2020,61
7/4/2020,63
7/5/2020,61
7/6/2020,48
7/7/2020,44
7/8/2020,62
7/9/2020,50
7/10/2020,45
7/11/2020,35
7/12/2020,44
7/13/2020,62
7/14/2020,33
7/15/2020,39
7/16/2020,61
7/17/2020,60
7/18/2020,39
7/19/2020,34
7/20/2020,26
7/21/2020,45
7/22/2020,63
7/23/2020,59
7/24/2020,41
7/25/2020,113
7/26/2020,58
7/27/2020,25
7/28/2020,28
7/29/2020,48
7/30/2020,18
7/31/2020,36
8/1/2020,31
8/2/2020,30
8/3/2020,23
8/4/2020,34
8/5/2020,33
8/6/2020,43
8/7/2020,20
8/8/2020,43
8/9/2020,36
8/10/2020,28
8/11/2020,34
8/12/2020,54
8/13/2020,56
8/14/2020,103
8/15/2020,166
8/16/2020,279
8/17/2020,197
8/18/2020,246
8/19/2020,297
8/20/2020,288
8/21/2020,324
8/22/2020,332
8/23/2020,397
8/24/2020,266
8/25/2020,280
8/26/2020,320
8/27/2020,441
8/28/2020,371
8/29/2020,323
8/30/2020,299
8/31/2020,248
9/1/2020,235
9/2/2020,267
9/3/2020,195
9/4/2020,198
9/5/2020,168
9/6/2020,167
9/7/2020,119
9/8/2020,136
9/9/2020,156
9/10/2020,155
9/11/2020,176
9/12/2020,136
9/13/2020,121
9/14/2020,109
9/15/2020,106
9/16/2020,113
9/17/2020,153
9/18/2020,126
9/19/2020,110
9/20/2020,82
9/21/2020,70
9/22/2020,61
9/23/2020,110
9/24/2020,125
9/25/2020,114
9/26/2020,61
9/27/2020,95
9/28/2020,50
9/29/2020,38
9/30/2020,113
10/1/2020,77
10/2/2020,63
10/3/2020,75
10/4/2020,64
10/5/2020,73
10/6/2020,75
10/7/2020,114
10/8/2020,69
10/9/2020,54
10/10/2020,72
10/11/2020,58
10/12/2020,97
10/13/2020,102
10/14/2020,73
10/15/2020,110
10/16/2020,47
10/17/2020,73
10/18/2020,91
